fid,gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,NUMPOINTS,CHARGING,공연시설_공연시설접근성,공시지가_공시지가,도서관_도서관접근성,병원_병원접근성,보건기관_보건기관접근성,생활권공원_생활권공원 접근성,소방서_소방서접근성,인구_인구,주제공원_주제공원접근성,주차장_주차장접근성,체육시설__체육시설접근성,초등학교_초등학교접근성
"5353",다라19aa69aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.345,"2022","202303",0,0,5.506,12582.13,5.163,12.695,3.39,10.023,11.497,0,11.974,3.358,3.23,3.597
"5354",다라19aa67aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.588,"2022","202303",0,0,5.35,2005.74,9.164,14.64,5.633,11.001,13.854,,13.919,5.602,5.474,5.84
"5355",다라18aa70aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.088,"2022","202303",0,0,7.096,15109.11,5.172,14.031,5.038,9.424,10.532,,13.31,5.392,5.577,5.479
"5356",다라18aa66aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,7.294,"2022","202303",0,0,6.672,15232.17,9.704,16.183,4.513,9.186,13.7,,16.573,7.308,7.18,7.547
"5357",다라21ba66ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.388,"2022","202303",0,0,2.139,16157.14,7.313,15.591,4.408,6.811,9.835,,12.716,4.29,3.219,4.322
"5358",다라24aa69aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.79,"2022","202303",0,0,3.885,23811.16,5.177,6.088,3.91,6.371,5.302,,5.367,3.445,3.629,3.825
"5359",다라24aa72aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,6.606,"2022","202303",0,0,8.548,856.6,6.085,8.689,7.508,8.877,7.861,,7.585,7.391,6.466,7.422
"5360",다라22ba65ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.712,"2022","202303",0,0,3.463,4620,8.707,17.024,5.841,8.243,12.331,,12.977,5.723,5.108,5.755
"5361",다라24aa70ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,6.527,"2022","202303",0,0,6.525,,6.571,7.181,6.898,7.196,6.394,,6.459,6.281,5.776,6.812
"5362",다라24ba73ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.765,"2022","202303",0,0,8.168,833.78,5.243,7.898,7.189,8.036,7.02,,6.745,6.914,7.946,7.66
"5363",다라19aa65bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,6.579,"2022","202303",0,0,6.732,5496.6,10.489,20.292,5.907,11.64,15.6,0,16.244,6.593,6.464,6.831
"5364",다라19aa67bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.157,"2022","202303",0,0,5.712,12701.33,7.733,13.543,4.202,12.386,12.756,,12.822,4.171,4.043,4.41
"5365",다라17aa69ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,6.889,"2022","202303",0,0,11.101,17635.02,6.973,15.83,5.535,11.012,12.121,,15.109,7.191,7.379,7.279
"5366",다라22ab71aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.169,"2022","202303",0,0,5.95,1758.37,7.702,10.307,2.214,10.001,9.521,,9.585,2.096,2.567,2.128
"5367",다라22ab73aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.157,"2022","202303",0,0,7.939,1057.22,9.69,12.669,4.202,12.922,11.882,,11.947,4.085,4.555,4.117
"5368",다라20ab68ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.851,"2022","202303",0,0,4.012,18622.23,7.147,11.201,1.895,8.181,10.414,17,10.48,1.864,1.736,2.103
"5369",다라23bb70ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,6.71,"2022","202303",0,0,6.708,,6.754,7.364,7.081,7.379,6.577,,6.642,6.464,5.959,6.995
"5370",다라22ba66bb,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.797,"2022","202303",0,0,1.158,18965.83,6.791,15.718,4.265,6.937,10.146,,11.855,4.147,3.568,4.179
"5371",다라24aa69ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.954,"2022","202303",0,0,4.049,15574.12,5.341,6.068,4.261,6.083,5.281,,5.346,3.795,3.98,4.175
