fid,gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,NUMPOINTS,CHARGING,공연시설_공연시설접근성,공시지가_공시지가,도서관_도서관접근성,병원_병원접근성,보건기관_보건기관접근성,생활권공원_생활권공원 접근성,소방서_소방서접근성,인구_인구,주제공원_주제공원접근성,주차장_주차장접근성,체육시설__체육시설접근성,초등학교_초등학교접근성
"6714",다라27aa79ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.626,"2022","202303",0,0,8.083,17364.11,2.974,9.89,0.58,4.797,7.994,,7.926,5.182,6.171,4.56
"6715",다라33aa75bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.293,"2022","202303",0,0,6.526,18424.78,6.521,8.194,2.596,3.707,6.481,,6.003,3.874,5.32,2.453
"6716",다라26ba79ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.62,"2022","202303",0,0,8.072,20742.68,2.691,9.878,1.608,4.513,7.71,,7.643,6.198,6.344,4.733
"6717",다라26ba74ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.9,"2022","202303",0,0,4.903,1200.1,1.972,6.708,2.009,5.511,7.527,,5.289,4.902,4.953,3.896
"6718",다라28ba74bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.202,"2022","202303",0,0,2.447,21324.24,2.385,4.253,2.249,2.599,5.072,7,2.834,2.212,2.263,2.526
"6719",다라29aa76ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.161,"2022","202303",0,0,4.22,19212.16,2.514,6.027,2.095,3.035,6.845,,4.607,1.298,1.349,0.932
"6720",다라29aa77ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.28,"2022","202303",0,0,5.535,18871.08,3.588,9.25,3.306,4.198,8.191,,7.83,2.613,2.664,1.752
"6721",다라30aa79bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.353,"2022","202303",0,0,8.554,7881.97,2.525,11.452,3.528,2.955,5.061,,9.261,1.398,5.689,3.775
"6722",다라27ba77ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.71,"2022","202303",0,0,6.168,10943.95,2.788,7.975,2.506,5.961,8.792,,6.555,4.223,4.274,2.621
"6723",다라28aa76bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.048,"2022","202303",0,0,5.5,15846.19,2.12,7.307,1.839,4.633,8.124,,5.887,2.918,2.97,1.596
"6724",다라26bb75ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.464,"2022","202303",0,0,4.226,33486.29,0.535,6.032,0.572,4.835,6.85,33,4.613,3.632,3.683,2.46
"6725",다라29aa76ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.418,"2022","202303",0,0,4.477,18076.88,2.523,6.283,2.241,3.292,7.102,,4.864,1.554,1.605,0.687
"6726",다라28aa76ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.365,"2022","202303",0,0,4.817,16261.54,1.437,6.623,1.155,4.183,7.441,,5.204,2.469,2.52,1.147
"6727",다라31bb74ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.61,"2022","202303",0,0,4.293,34886.46,5.159,4.946,2.435,2.332,6.78,11,3.77,4.438,4.144,1.604
"6728",다라28ba74ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.379,"2022","202303",0,0,2.383,18928.61,2.321,4.189,2.185,2.873,5.008,,2.769,2.486,2.537,2.8
"6729",다라26aa79ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.427,"2022","202303",0,0,7.878,21637.15,2.488,9.685,2.359,4.311,7.508,6,7.441,6.949,7.095,5.484
"6730",다라26aa75ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.189,"2022","202303",0,0,4.846,6070.51,1.494,6.652,1.532,5.455,7.471,7,5.233,4.598,4.648,3.419
"6731",다라27aa78ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.878,"2022","202303",0,0,7.331,18039.61,3.639,9.137,1.707,5.462,8.659,,7.717,5.6,6.233,3.979
"6732",다라27ba76ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.313,"2022","202303",0,0,4.765,16898.48,1.385,6.572,1.104,4.952,7.39,,5.152,3.238,3.289,2.037
"6733",다라32aa76aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.39,"2022","202303",0,0,5.624,19723.13,6.334,7.303,0.631,2.588,7.249,0,5.1,3.575,3.935,1.698
"6734",다라27bb76bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.655,"2022","202303",0,0,5.107,6204.44,1.727,6.913,1.446,5.294,7.732,,5.494,3.579,3.63,2.379
"6735",다라26ab78bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.346,"2022","202303",0,0,7.799,19079.27,3.097,9.605,1.759,4.92,8.116,,8.049,6.349,6.495,4.883
"6736",다라27bb75bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.774,"2022","202303",0,0,4.044,20084.81,0.846,5.85,0.658,4.653,6.669,6,4.431,3.368,3.419,2.196
"6737",다라31aa75aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.737,"2022","202303",0,0,3.987,47303.95,4.853,5.655,1.108,0.76,6.473,,3.464,2.105,2.464,0.774
"6738",다라28aa77aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.934,"2022","202303",0,0,5.993,16464.07,3.304,7.799,3.022,4.808,8.618,0,6.38,3.071,3.121,1.469
"6739",다라25ab77bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.636,"2022","202303",0,0,7.053,24197.79,3.672,8.858,3.392,6.535,9.677,22,7.439,6.212,6.263,5.012
"6740",다라25bb77bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.53,"2022","202303",0,0,6.734,19829.7,3.353,8.54,3.073,6.868,9.359,,7.121,5.894,5.945,4.694
"6741",다라26bb74ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.868,"2022","202303",0,0,3.976,5134.19,1.939,5.782,1.977,4.585,6.6,,4.362,4.516,4.569,3.863
"6742",다라31bb75ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.96,"2022","202303",0,0,5.195,17342.31,6.059,6.861,0.864,1.885,7.483,,4.671,3.423,3.782,0.996
"6743",다라24bb78ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.581,"2022","202303",0,0,8.615,2729.85,3.184,10.421,3.906,5.797,8.994,,8.926,7.941,7.992,6.574
"6744",다라25bb74ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.823,"2022","202303",0,0,6.001,938,2.914,7.257,2.951,6.61,6.379,,6.104,6.274,6.053,4.838
"6745",다라28bb75bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.284,"2022","202303",0,0,4.049,16463.91,2.153,5.854,2.016,3.032,6.674,,4.435,1.294,1.345,1.405
"6746",다라25bb78ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.045,"2022","202303",0,0,7.498,14592.89,3.306,9.303,2.789,5.452,8.648,,7.884,6.657,6.708,5.457
"6747",다라29bb79ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.905,"2022","202303",0,0,9.106,7598.69,3.077,11.031,2.614,3.508,5.614,0,8.84,1.747,5.273,4.361
"6748",다라24bb77aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.632,"2022","202303",0,0,7.049,2070,3.669,8.856,3.388,7.658,9.674,,7.436,6.209,6.26,5.009
"6749",다라28ba77bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.492,"2022","202303",0,0,7.763,21220.44,4.383,9.001,3.091,4.864,7.408,,8.15,3.503,3.554,2.22
"6750",다라31aa78bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.896,"2022","202303",0,0,7.785,11088.98,3.068,10.202,4.284,1.917,4.82,0,8.011,0.767,6.136,3.99
"6751",다라27aa73bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.699,"2022","202303",0,0,3.63,979.39,2.771,5.435,2.809,4.239,6.254,,4.016,4.473,4.223,4.24
"6752",다라32aa75ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.416,"2022","202303",0,0,4.649,38298.59,5.514,6.317,0.475,1.88,7.008,0,4.125,3.133,3.492,0.626
"6753",다라30aa78bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.67,"2022","202303",0,0,8.647,10397.23,2.842,10.316,3.425,3.272,5.378,,8.125,1.511,4.996,4.084
"6754",다라31aa74ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.357,"2022","202303",0,0,4.207,47949.88,5.072,5.874,1.51,1.163,6.693,17,3.683,2.973,3.332,1.185
"6755",다라26aa75bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.563,"2022","202303",0,0,5.154,16232.55,1.617,6.96,1.841,5.763,7.779,0,5.541,4.906,4.956,3.727
"6756",다라26ba77ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.935,"2022","202303",0,0,5.405,27918.25,2.024,7.211,1.743,6.014,8.029,72,5.792,4.565,4.616,3.365
"6757",다라27ba74ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.693,"2022","202303",0,0,2.888,10254.19,2.764,4.694,2.629,3.497,5.513,14,3.275,3.43,3.481,3.498
"6758",다라30aa78ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.449,"2022","202303",0,0,8.465,9375.85,3.622,10.134,3.775,4.052,6.158,,7.943,2.292,4.546,3.634
"6759",다라27aa79aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.114,"2022","202303",0,0,7.565,19084.99,2.986,9.372,0.998,4.808,8.005,,7.938,5.439,5.654,4.042
"6760",다라30aa76aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.3,"2022","202303",0,0,4.674,60266.99,3.759,6.479,1.041,1.468,7.298,14,4.208,0.65,1.009,2.184
"6761",다라31aa76aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.619,"2022","202303",0,0,5.219,15282.11,5.079,6.886,1.785,1.161,7.705,14,4.695,1.969,2.329,1.75
"6762",다라32aa77aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.814,"2022","202303",0,0,6.878,16774.61,5.321,8.545,1.713,3.16,6.087,0,6.354,3.713,4.336,2.68
"6763",다라31ab76bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.7,"2022","202303",0,0,5.807,14786.62,5.326,7.475,2.299,2.229,6.767,0,5.284,3.05,3.409,2.348
"6764",다라27ab79bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.902,"2022","202303",0,0,8.705,13731.08,3.159,10.512,0.5,4.982,8.178,,8.111,4.741,6.793,5.182
"6765",다라25ab75ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,11.16,"2022","202303",0,0,13.562,923.47,10.637,13.292,5.84,13.562,12.413,,12.139,12.329,13.34,13.054
"6766",다라30ba76ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.315,"2022","202303",0,0,5.871,11407.65,4.774,7.538,2.32,1.696,8.357,,5.347,1.665,2.024,2.411
"6767",다라26aa75ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.545,"2022","202303",0,0,4.987,6311.72,1.635,6.793,1.673,5.596,7.612,7,5.373,4.738,4.789,3.559
"6768",다라28ba78aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.42,"2022","202303",0,0,7.199,17774.44,4.715,9.005,3.071,4.918,7.462,,7.586,3.557,3.608,2.552
"6769",다라27ba79aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.264,"2022","202303",0,0,7.715,16544.57,3.653,9.522,1.341,5.476,8.673,0,8.102,5.163,5.803,4.192
"6770",다라26ba79aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.466,"2022","202303",0,0,7.918,20083.74,3.151,9.724,1.646,4.974,8.171,,8.103,6.236,6.382,4.771
"6771",다라26ba76aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.788,"2022","202303",0,0,4.651,19307.1,0.751,6.457,0.998,5.26,7.275,,5.038,4.057,4.108,3.289
"6772",다라31ba74aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.249,"2022","202303",0,2,3.827,29861.39,4.692,4.531,2.073,1.862,6.313,6,3.303,4.304,4.609,1.243
"6773",다라32aa76ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.103,"2022","202303",0,0,6.226,32781.17,5.841,7.893,1.061,2.635,6.813,23,5.702,3.452,3.812,2.029
"6774",다라30ba78aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.997,"2022","202303",0,0,7.661,10411.53,3.652,9.33,3.74,4.048,6.189,,7.139,1.471,4.42,3.509
"6775",다라26ba74aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.247,"2022","202303",0,0,4.276,7820.05,2.319,6.081,2.356,4.884,6.9,,4.662,5.119,4.869,4.243
"6776",다라27ba74aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.903,"2022","202303",0,0,3.098,8301.01,2.974,4.904,2.839,3.706,5.723,0,3.485,3.64,3.691,3.707
"6777",다라32ba76ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.538,"2022","202303",0,0,6.804,11246.82,5.76,8.719,2.157,3.247,7.017,0,6.529,4.064,4.423,2.606
"6778",다라25aa77aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.318,"2022","202303",0,0,6.736,10835.88,3.355,8.542,3.074,7.345,9.36,,7.122,5.896,5.947,4.695
"6779",다라25aa78ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.199,"2022","202303",0,0,8.233,6526.17,2.803,10.04,3.525,5.416,8.613,0,8.545,7.56,7.611,6.193
"6780",다라28aa79ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.455,"2022","202303",0,0,8.907,11729.41,5.025,10.713,4.185,10.727,10.045,,9.294,8.067,8.118,6.866
"6781",다라31aa73ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.777,"2022","202303",0,0,3.001,19085.64,3.866,3.705,2.899,2.436,5.487,,2.477,3.476,3.782,2.069
"6782",다라26aa77ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.269,"2022","202303",0,0,6.379,20000,2.999,8.185,2.718,6.988,9.004,0,6.766,5.539,5.59,4.339
"6783",다라32bb75ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.364,"2022","202303",0,0,5.597,18115.52,6.462,7.265,0.701,2.828,6.826,,5.073,3.649,3.355,1.574
"6784",다라30ab79ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.102,"2022","202303",0,0,8.303,14985.1,2.275,10.839,3.073,2.705,4.811,0,8.648,0.938,5.439,3.898
"6785",다라30ab77bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.568,"2022","202303",0,0,7.094,14402.32,4.107,10.195,4.472,4.537,6.643,,8.003,2.776,4.222,3.311
"6786",다라26ab74aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.127,"2022","202303",0,0,6.8,,3.875,6.53,4.254,6.668,5.652,,5.377,5.567,6.577,6.14
"6787",다라25aa77ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.515,"2022","202303",0,0,6.932,11293.1,3.551,8.737,3.271,7.336,9.556,,7.318,6.091,6.142,4.891
"6788",다라28bb76aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.376,"2022","202303",0,0,4.256,17334.47,2.064,6.061,1.783,3.124,6.881,,4.643,1.386,1.437,1.184
"6789",다라32ab77ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.265,"2022","202303",0,0,7.39,10769.79,3.998,9.058,2.685,3.299,5.109,0,6.866,3.099,4.992,2.406
"6790",다라27ab75aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.284,"2022","202303",0,0,3.322,19718.81,1.355,5.129,1.392,3.931,5.947,12,3.709,3.616,3.667,2.84
"6791",다라31ab73ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.85,"2022","202303",0,0,3.318,18674.34,4.183,4.022,2.675,2.464,5.804,0,2.794,3.794,4.099,1.844
"6792",다라25ab77aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.999,"2022","202303",0,0,6.416,17559.71,3.036,8.223,2.755,7.025,9.041,8,6.803,5.576,5.627,4.376
"6793",다라29ab76aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.845,"2022","202303",0,0,4.361,17500,2.655,6.167,1.652,2.593,6.986,,3.801,0.855,0.906,1.497
"6794",다라31ba75ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.134,"2022","202303",0,0,5.368,17821.29,6.233,7.035,1.412,2.059,7.854,,4.844,3.356,3.715,1.171
"6795",다라30ab77aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.327,"2022","202303",0,0,6.679,18961.37,4.739,8.815,3.127,2.504,8.173,0,6.155,1.677,2.036,3.062
"6796",다라32ab76aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.324,"2022","202303",0,0,5.557,21757.49,6.142,7.225,0.564,2.744,7.183,13,5.033,3.807,4.167,1.855
"6797",다라33ab75aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.742,"2022","202303",0,0,5.976,26219.45,6.425,7.643,1.553,3.156,7.363,16,5.452,3.325,3.031,1.902
"6798",다라26bb78aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.667,"2022","202303",0,0,7.119,14237.15,3.738,8.925,2.451,5.831,9.028,,7.506,5.517,5.568,3.915
"6799",다라29bb75aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.596,"2022","202303",0,0,3.634,19438.2,4.165,5.44,1.11,1.016,6.259,,2.822,1.606,1.658,2.42
"6800",다라26ab79ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.599,"2022","202303",0,0,8.051,18973.91,2.755,9.857,1.981,4.578,7.774,,7.707,6.571,6.717,5.105
"6801",다라32ab76ba,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.375,"2022","202303",0,0,6.484,22805.92,5.597,8.152,1.123,2.928,6.854,0,5.96,3.745,4.104,2.287
"6802",다라31bb75aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.087,"2022","202303",0,0,4.321,48905.27,5.186,5.988,0.86,1.551,6.807,0,3.797,2.805,3.164,0.297
"6803",다라27ab76aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.11,"2022","202303",0,0,4.562,25501.67,1.181,6.368,0.901,4.748,7.186,0,4.949,3.034,3.085,1.862
"6804",다라26ab78ab,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.129,"2022","202303",0,0,6.581,30277.56,3.2,8.387,2.44,5.298,8.495,0,6.967,5.741,5.792,4.54
"6805",다라31ab78aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.254,"2022","202303",0,0,7.927,12606.72,3.805,9.595,3.752,3.112,5.85,,7.403,2.197,5.529,3.396
"6806",다라30bb75aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.033,"2022","202303",0,0,4.305,134501.31,5.171,5.974,0.708,0.279,6.792,0,3.782,1.957,2.423,1.475
"6807",다라28ab79aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.135,"2022","202303",0,0,8.47,13081.61,4.716,10.277,2.462,5.735,7.84,,9.313,3.974,6.215,4.28
"6808",다라27ab74aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.517,"2022","202303",0,0,3.518,7863.03,2.588,5.324,2.626,4.127,6.142,,3.904,4.361,4.111,4.128
"6809",다라26bb74aa,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.135,"2022","202303",0,0,4.093,7820,2.206,5.899,2.244,4.702,6.717,,4.479,4.936,4.686,4.13
"6810",다라26ba76bb,"46170380",노안면,Noan-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.509,"2022","202303",0,0,5.034,19834.74,1.653,6.84,1.372,5.643,7.658,,5.42,4.194,4.245,2.993
"6811",다라31bb73aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.599,"2022","202303",0,0,3.703,41500,4.552,4.008,3.283,4.27,5.73,,4.947,3.505,3.282,2.748
"6812",다라31ba71bb,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.759,"2022","202303",0,0,2.297,47690.51,4.193,3.648,1.586,3.589,5.37,7,4.587,3.512,4.394,1.102
"6813",다라31ab71aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.812,"2022","202303",0,0,2.146,50730.27,3.543,2.999,1.025,3.261,4.721,,3.92,2.862,3.746,0.951
"6814",다라31bb72aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.887,"2022","202303",0,0,3.425,42093.52,4.492,3.947,2.713,4.209,5.669,0,4.887,3.811,4.694,2.23
"6815",다라34ab68ba,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.357,"2022","202303",0,16,6.233,124625.44,1.832,3.697,3.482,1.014,2.163,262,2.644,2.644,2.644,1.901
"6816",다라33ab68aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.165,"2022","202303",0,0,4.863,55323.15,2.584,4.818,3.219,1.139,3.345,,3.826,3.727,3.826,2.933
"6817",다라34ab71aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.649,"2022","202303",0,12,2.482,64453.04,1.891,2.405,3.488,1.429,3.131,198,1.038,2.002,2.96,0.856
"6818",다라31ba71ba,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.436,"2022","202303",0,0,1.975,152266.85,3.628,3.084,1.263,3.266,4.805,14,4.024,2.947,3.831,0.78
"6819",다라31ba68ba,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.308,"2022","202303",0,0,4.484,34491.85,3.462,5.34,3.213,2.203,5.405,,4.436,3.141,3.18,4.04
"6820",다라34ba67aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.553,"2022","202303",0,0,7.013,45730.96,2.708,4.573,1.422,2.056,3.039,0,3.519,3.519,3.519,2.776
"6821",다라32bb65ab,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.497,"2022","202303",0,0,8.919,31834.43,4.495,7.641,2.3,4.488,6.146,0,6.986,5.023,4.29,4.844
"6822",다라33ba73aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.691,"2022","202303",0,0,2.849,53177.63,4.51,5.462,3.746,3.573,6.523,11,3.556,1.94,1.716,3.689
"6823",다라34aa71aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.384,"2022","202303",0,0,1.602,75318.24,2.229,3.766,2.743,1.016,3.952,6,1.86,2.34,3.238,2.105
"6824",다라31aa72aa,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.2,"2022","202303",0,0,2.738,55747.13,3.615,3.07,2.026,3.333,4.793,24,3.991,2.935,3.817,1.543
"6825",다라30bb71bb,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.726,"2022","202303",0,0,3.265,42431.84,3.15,2.606,2.553,2.868,4.328,,3.527,2.469,3.353,2.069
"6826",다라31bb70ba,"46170390",금천면,Geumcheon-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.385,"2022","202303",0,0,1.862,120254.85,4.249,4.224,0.379,2.856,5.945,25,4.268,3.985,4.454,1.212
